transaction_id,amount,customer_age,location,purchase_category
TXN001,8032.5,22,Hyderabad,Online
TXN002,141406.61,18,Mumbai,ATM
TXN003,3136.2,58,Pune,Online
TXN004,1938.22,25,Mumbai,Online
TXN005,1341.81,50,Delhi,Online
TXN006,3052.5,49,Ahmedabad,ATM
TXN007,10871.61,53,Ahmedabad,POS
TXN008,2509.93,49,Delhi,POS
TXN009,13545.17,26,Ahmedabad,ATM
TXN010,1199.96,49,Pune,ATM
TXN011,6322.38,26,Chennai,Online
TXN012,3630.32,45,Chennai,ATM
TXN013,9409.58,69,Pune,Online
TXN014,5656.94,39,Chennai,ATM
TXN015,1280.75,28,Delhi,ATM
TXN016,13996.26,30,Chennai,ATM
TXN017,3865.84,46,Kolkata,ATM
TXN018,4487.71,62,Hyderabad,ATM
TXN019,8526.81,26,Mumbai,ATM
TXN020,5949.16,20,Mumbai,POS
TXN021,8033.0,51,Pune,Online
TXN022,4186.64,62,Kolkata,Online
TXN023,6365.84,63,Pune,POS
TXN024,6751.9,60,Ahmedabad,ATM
TXN025,11597.87,44,Delhi,Online
TXN026,1752.6,57,Chennai,ATM
TXN027,6266.41,64,Hyderabad,ATM
TXN028,11082.27,39,Delhi,POS
TXN029,567.71,56,Kolkata,POS
TXN030,1358.99,45,Chennai,ATM
TXN031,13874.98,25,Ahmedabad,Online
TXN032,5219.88,70,Delhi,ATM
TXN033,14716.81,35,Chennai,Online
TXN034,13898.56,27,Ahmedabad,POS
TXN035,475.8,22,Delhi,ATM
TXN036,14605.89,61,Kolkata,POS
TXN037,12484.1,41,Kolkata,POS
TXN038,5040.56,56,Chennai,ATM
TXN039,9871.23,35,Kolkata,Online
TXN040,4893.9,26,Kolkata,POS
TXN041,8926.81,54,Kolkata,POS
TXN042,12711.23,57,Ahmedabad,POS
TXN043,273.19,42,Pune,POS
TXN044,11665.98,65,Chennai,Online
TXN045,6404.15,56,Ahmedabad,Online
TXN046,13995.47,61,Bangalore,ATM
TXN047,11319.96,68,Kolkata,ATM
TXN048,2683.7,23,Mumbai,Online
TXN049,14546.38,38,Bangalore,POS
TXN050,5857.51,31,Bangalore,ATM
TXN051,1288.39,63,Mumbai,Online
TXN052,13752.43,60,Pune,Online
TXN053,3202.14,26,Hyderabad,ATM
TXN054,11195.13,68,Chennai,ATM
TXN055,12548.44,24,Bangalore,ATM
TXN056,7303.74,25,Chennai,POS
TXN057,2092.89,46,Hyderabad,Online
TXN058,14568.55,42,Bangalore,ATM
TXN059,8980.7,56,Chennai,Online
TXN060,302.4,40,Ahmedabad,Online
TXN061,147.88,23,Kolkata,Online
TXN062,7151.96,58,Hyderabad,POS
TXN063,12347.66,66,Hyderabad,Online
TXN064,13193.58,50,Hyderabad,ATM
TXN065,9933.53,27,Delhi,POS
TXN066,1680.3,33,Mumbai,Online
TXN067,10496.51,39,Delhi,ATM
TXN068,2437.61,69,Hyderabad,POS
TXN069,5525.83,54,Pune,ATM
TXN070,3739.8,31,Kolkata,Online
TXN071,1337.13,66,Delhi,ATM
TXN072,2377.09,54,Pune,Online
TXN073,812.62,53,Kolkata,POS
TXN074,705.36,61,Delhi,POS
TXN075,9793.37,29,Pune,Online
TXN076,7258.83,31,Bangalore,ATM
TXN077,13252.93,40,Delhi,POS
TXN078,8549.46,51,Kolkata,Online
TXN079,539.52,37,Hyderabad,POS
TXN080,11260.75,34,Bangalore,ATM
TXN081,336.45,37,Ahmedabad,POS
TXN082,2121.99,48,Bangalore,ATM
TXN083,6217.91,49,Mumbai,ATM
TXN084,193.08,47,Delhi,ATM
TXN085,8694.0,26,Hyderabad,POS
TXN086,1473.32,52,Pune,POS
TXN087,1373.38,52,Chennai,Online
TXN088,12632.52,24,Ahmedabad,ATM
TXN089,5598.25,57,Pune,Online
TXN090,7632.69,59,Hyderabad,ATM
TXN091,14099.62,64,Chennai,Online
TXN092,11897.62,42,Delhi,Online
TXN093,11697.43,40,Delhi,ATM
TXN094,6020.77,40,Ahmedabad,Online
TXN095,14065.64,25,Delhi,POS
TXN096,3722.46,29,Bangalore,POS
TXN097,2014.42,54,Delhi,Online
TXN098,13437.63,31,Bangalore,Online
TXN099,14089.52,23,Hyderabad,Online
TXN100,999999.99,49,Dubai,POS
TXN101,193.68,60,Kolkata,Online
TXN102,7163.41,28,Mumbai,Online
TXN103,14873.69,45,Hyderabad,POS
TXN104,5990.37,40,Ahmedabad,POS
TXN105,11911.3,23,Chennai,Online
TXN106,1927.8,21,Kolkata,Online
TXN107,287.34,52,Kolkata,Online
TXN108,6823.01,35,Bangalore,POS
TXN109,367.46,69,Ahmedabad,Online
TXN110,10900.92,22,Ahmedabad,ATM
TXN111,10354.64,39,Pune,ATM
TXN112,9433.29,45,Chennai,Online
TXN113,14597.39,38,Bangalore,ATM
TXN114,5920.63,29,Delhi,ATM
TXN115,124784.62,65,Pune,ATM
TXN116,6059.09,70,Ahmedabad,POS
TXN117,6263.24,19,Pune,POS
TXN118,461.69,60,Pune,ATM
TXN119,196.79,44,Hyderabad,ATM
TXN120,14520.11,29,Pune,Online
TXN121,8143.77,64,Bangalore,Online
TXN122,5314.91,38,Bangalore,POS
TXN123,5374.62,41,Ahmedabad,Online
TXN124,10842.72,31,Ahmedabad,POS
TXN125,634.32,41,Kolkata,Online
TXN126,13023.23,65,Delhi,Online
TXN127,138.04,30,Hyderabad,ATM
TXN128,7926.27,41,Chennai,Online
TXN129,5411.37,41,Kolkata,ATM
TXN130,8057.44,64,Mumbai,POS
TXN131,10785.68,66,Chennai,POS
TXN132,1150.54,58,Bangalore,Online
TXN133,5151.08,55,Delhi,ATM
TXN134,10095.83,45,Chennai,POS
TXN135,2468.51,23,Chennai,POS
TXN136,3127.85,44,Ahmedabad,ATM
TXN137,4866.62,57,Mumbai,POS
TXN138,6949.42,63,Delhi,Online
TXN139,11417.29,37,Bangalore,ATM
TXN140,8272.25,22,Chennai,ATM
TXN141,516.91,65,Pune,ATM
TXN142,1318.15,37,Bangalore,POS
TXN143,4904.73,57,Pune,POS
TXN144,126.44,39,Chennai,POS
TXN145,11565.88,62,Pune,POS
TXN146,638.72,54,Mumbai,POS
TXN147,101415.75,39,Pune,Online
TXN148,11852.73,64,Kolkata,Online
TXN149,12436.72,31,Delhi,POS
TXN150,4111.03,27,Bangalore,Online
TXN151,14723.25,61,Pune,Online
TXN152,4963.0,20,Bangalore,Online
TXN153,139613.73,58,Pune,POS
TXN154,6806.56,59,Ahmedabad,ATM
TXN155,10490.31,21,Pune,ATM
TXN156,2280.4,67,Chennai,ATM
TXN157,13488.02,20,Bangalore,ATM
TXN158,13769.86,61,Pune,POS
TXN159,7301.98,23,Chennai,POS
TXN160,13514.77,24,Kolkata,Online
TXN161,1996.11,41,Kolkata,POS
TXN162,9626.02,35,Chennai,ATM
TXN163,135259.78,58,Ahmedabad,Online
TXN164,14311.15,40,Mumbai,Online
TXN165,3189.32,29,Ahmedabad,ATM
TXN166,3815.72,47,Pune,Online
TXN167,11208.93,26,Delhi,POS
TXN168,2069.53,30,Bangalore,POS
TXN169,1880.61,29,Kolkata,ATM
TXN170,2906.94,52,Delhi,ATM
TXN171,14938.55,49,Pune,Online
TXN172,108089.36,63,Hyderabad,POS
TXN173,9449.11,48,Kolkata,ATM
TXN174,10156.86,55,Pune,Online
TXN175,11469.5,34,Hyderabad,Online
TXN176,334.37,19,Kolkata,ATM
TXN177,2957.34,20,Mumbai,POS
TXN178,1449.06,62,Delhi,Online
TXN179,6693.92,19,Bangalore,POS
TXN180,11118.96,60,Bangalore,POS
TXN181,9016.5,21,Hyderabad,ATM
TXN182,113576.8,63,Hyderabad,Online
TXN183,11764.54,57,Bangalore,POS
TXN184,794.96,27,Kolkata,ATM
TXN185,13195.17,60,Delhi,POS
TXN186,2618.85,21,Chennai,Online
TXN187,9724.42,57,Delhi,Online
TXN188,1748.48,64,Mumbai,Online
TXN189,4656.53,57,Hyderabad,POS
TXN190,6964.18,44,Bangalore,POS
TXN191,8049.96,64,Chennai,ATM
TXN192,6102.45,22,Mumbai,POS
TXN193,1051.81,48,Chennai,Online
TXN194,9050.12,18,Hyderabad,POS
TXN195,10970.6,31,Pune,ATM
TXN196,4332.31,32,Delhi,Online
TXN197,5882.91,63,Ahmedabad,Online
TXN198,10751.77,50,Chennai,POS
TXN199,117417.55,25,Ahmedabad,ATM
TXN200,3926.26,46,Hyderabad,Online
TXN201,101.57,24,Bangalore,POS
TXN202,4265.83,57,Kolkata,Online
TXN203,10517.9,28,Bangalore,Online
TXN204,2310.85,18,Ahmedabad,POS
TXN205,14335.57,49,Hyderabad,POS
TXN206,13265.93,22,Pune,Online
TXN207,12416.09,53,Pune,ATM
TXN208,7055.45,23,Kolkata,ATM
TXN209,8425.67,27,Pune,ATM
TXN210,13514.63,32,Kolkata,POS
TXN211,238.89,32,Delhi,POS
TXN212,3913.28,69,Ahmedabad,ATM
TXN213,8408.77,30,Bangalore,Online
TXN214,2996.51,46,Pune,ATM
TXN215,7097.52,27,Hyderabad,ATM
TXN216,2871.27,54,Chennai,Online
TXN217,11300.38,23,Mumbai,Online
TXN218,7549.5,70,Delhi,POS
TXN219,123.35,26,Hyderabad,POS
TXN220,12522.23,21,Delhi,POS
TXN221,4625.08,46,Chennai,POS
TXN222,2030.12,41,Kolkata,ATM
TXN223,14402.67,65,Kolkata,Online
TXN224,10262.2,61,Pune,Online
TXN225,656.22,34,Pune,ATM
TXN226,10444.12,38,Kolkata,POS
TXN227,2193.6,28,Ahmedabad,ATM
TXN228,9999.66,57,Bangalore,POS
TXN229,10865.04,35,Ahmedabad,ATM
TXN230,11305.93,67,Bangalore,ATM
TXN231,14490.85,40,Mumbai,ATM
TXN232,8806.16,22,Mumbai,ATM
TXN233,10854.74,23,Chennai,POS
TXN234,7478.88,64,Kolkata,ATM
TXN235,12494.84,65,Delhi,POS
TXN236,11222.76,62,Ahmedabad,Online
TXN237,12644.06,49,Ahmedabad,POS
TXN238,10120.85,20,Delhi,ATM
TXN239,3923.47,37,Ahmedabad,Online
TXN240,2099.68,53,Chennai,POS
TXN241,1477.92,66,Delhi,ATM
TXN242,7382.54,34,Pune,Online
TXN243,135630.38,66,Delhi,Online
TXN244,7110.92,29,Ahmedabad,ATM
TXN245,10992.78,26,Chennai,POS
TXN246,2975.11,54,Mumbai,ATM
TXN247,4230.51,28,Chennai,Online
TXN248,11886.21,36,Pune,Online
TXN249,2174.19,39,Mumbai,Online
TXN250,9954.31,18,Mumbai,ATM
TXN251,8874.48,28,Delhi,Online
TXN252,13051.53,21,Kolkata,ATM
TXN253,13855.68,44,Pune,Online
TXN254,12803.93,19,Kolkata,POS
TXN255,4016.2,69,Bangalore,POS
TXN256,9152.57,24,Mumbai,ATM
TXN257,13542.44,19,Mumbai,POS
TXN258,14380.27,52,Mumbai,POS
TXN259,7817.61,32,Mumbai,POS
TXN260,10348.59,66,Ahmedabad,POS
TXN261,623.19,34,Delhi,Online
TXN262,576.21,49,Delhi,POS
TXN263,12250.62,23,Hyderabad,ATM
TXN264,13705.58,40,Hyderabad,ATM
TXN265,462.21,27,Hyderabad,ATM
TXN266,4401.9,70,Ahmedabad,Online
TXN267,1937.82,53,Bangalore,POS
TXN268,6854.0,34,Ahmedabad,Online
TXN269,305.43,38,Kolkata,ATM
TXN270,8635.48,70,Delhi,POS
TXN271,14239.47,57,Pune,Online
TXN272,10584.36,50,Mumbai,POS
TXN273,12927.1,19,Kolkata,Online
TXN274,8394.89,44,Ahmedabad,ATM
TXN275,11480.16,37,Hyderabad,ATM
TXN276,142554.64,34,Mumbai,Online
TXN277,14882.58,32,Mumbai,Online
TXN278,9538.68,70,Delhi,Online
TXN279,9754.11,65,Kolkata,POS
TXN280,4255.87,59,Mumbai,ATM
TXN281,784.26,32,Hyderabad,ATM
TXN282,1846.76,63,Mumbai,ATM
TXN283,4583.09,39,Kolkata,POS
TXN284,8999.83,40,Hyderabad,ATM
TXN285,121.42,53,Hyderabad,POS
TXN286,5898.49,53,Bangalore,POS
TXN287,1292.29,49,Delhi,Online
TXN288,11655.2,27,Chennai,POS
TXN289,1797.97,66,Hyderabad,POS
TXN290,12552.91,22,Mumbai,Online
TXN291,9111.17,22,Pune,ATM
TXN292,126318.66,58,Hyderabad,Online
TXN293,150.13,61,Ahmedabad,POS
TXN294,6700.82,52,Mumbai,Online
TXN295,5105.66,25,Mumbai,POS
TXN296,2915.92,62,Pune,Online
TXN297,11410.34,21,Mumbai,POS
TXN298,4149.88,67,Kolkata,POS
TXN299,12957.29,43,Kolkata,Online
TXN300,12945.82,25,Mumbai,POS
TXN301,5388.88,18,Hyderabad,ATM
TXN302,125683.93,62,Bangalore,ATM
TXN303,9367.24,63,Bangalore,Online
TXN304,6072.52,40,Chennai,Online
TXN305,9613.6,40,Mumbai,Online
TXN306,1917.77,24,Kolkata,POS
TXN307,10457.91,54,Mumbai,POS
TXN308,111258.48,60,Pune,POS
TXN309,4207.62,43,Chennai,POS
TXN310,4872.15,41,Bangalore,Online
TXN311,14369.26,41,Mumbai,Online
TXN312,12331.01,23,Hyderabad,Online
TXN313,7995.97,50,Hyderabad,ATM
TXN314,144143.81,46,Pune,POS
TXN315,3076.91,53,Kolkata,POS
TXN316,276.27,34,Mumbai,POS
TXN317,7114.95,24,Delhi,Online
TXN318,129.64,58,Kolkata,ATM
TXN319,5664.06,56,Kolkata,Online
TXN320,7926.27,55,Bangalore,Online
TXN321,4101.4,21,Hyderabad,POS
TXN322,385.21,40,Bangalore,ATM
TXN323,10751.76,41,Kolkata,ATM
TXN324,13463.99,22,Delhi,Online
TXN325,7780.15,38,Ahmedabad,ATM
TXN326,6832.58,50,Delhi,Online
TXN327,10409.63,68,Delhi,POS
TXN328,5062.59,18,Chennai,POS
TXN329,654.77,46,Bangalore,POS
TXN330,11911.7,43,Chennai,ATM
TXN331,7167.59,32,Delhi,ATM
TXN332,144520.24,59,Mumbai,POS
TXN333,13355.79,18,Pune,POS
TXN334,727.93,32,Mumbai,POS
TXN335,6527.26,48,Pune,Online
TXN336,6282.07,39,Delhi,Online
TXN337,297.78,26,Delhi,POS
TXN338,10228.49,23,Mumbai,Online
TXN339,10484.25,45,Bangalore,POS
TXN340,10263.21,40,Kolkata,POS
TXN341,4542.7,65,Pune,ATM
TXN342,112.31,56,Pune,POS
TXN343,493.58,40,Pune,POS
TXN344,5418.48,62,Hyderabad,POS
TXN345,11158.62,56,Chennai,Online
TXN346,14113.74,35,Mumbai,Online
TXN347,12177.69,65,Bangalore,Online
TXN348,2634.8,64,Mumbai,POS
TXN349,10302.58,34,Delhi,ATM
TXN350,12634.79,26,Pune,ATM
TXN351,13643.84,43,Bangalore,POS
TXN352,12637.71,53,Hyderabad,Online
TXN353,3151.31,27,Ahmedabad,ATM
TXN354,6895.02,67,Pune,Online
TXN355,272.83,51,Chennai,Online
TXN356,4846.98,30,Bangalore,POS
TXN357,1457.89,30,Delhi,Online
TXN358,5233.04,34,Hyderabad,ATM
TXN359,9758.53,24,Mumbai,ATM
TXN360,4601.2,22,Chennai,Online
TXN361,3314.6,40,Kolkata,POS
TXN362,4562.08,43,Kolkata,Online
TXN363,10461.71,45,Pune,Online
TXN364,5292.61,66,Delhi,ATM
TXN365,10778.63,69,Bangalore,ATM
TXN366,5048.65,41,Bangalore,POS
TXN367,2464.55,45,Delhi,ATM
TXN368,1487.82,63,Mumbai,ATM
TXN369,5644.46,36,Kolkata,ATM
TXN370,6430.34,37,Pune,Online
TXN371,11249.16,24,Mumbai,Online
TXN372,7991.59,56,Ahmedabad,POS
TXN373,10026.05,22,Ahmedabad,ATM
TXN374,2393.31,43,Hyderabad,Online
TXN375,9447.98,28,Ahmedabad,POS
TXN376,11460.61,45,Bangalore,POS
TXN377,10307.41,34,Ahmedabad,Online
TXN378,8569.42,56,Hyderabad,Online
TXN379,7930.31,54,Ahmedabad,Online
TXN380,3732.74,28,Ahmedabad,Online
TXN381,8505.29,29,Delhi,ATM
TXN382,828.33,25,Pune,ATM
TXN383,10146.67,61,Chennai,POS
TXN384,8362.56,46,Bangalore,ATM
TXN385,5517.49,36,Ahmedabad,ATM
TXN386,664.91,59,Pune,ATM
TXN387,9078.7,62,Ahmedabad,POS
TXN388,128238.0,46,Pune,Online
TXN389,10476.94,30,Chennai,POS
TXN390,13683.5,30,Ahmedabad,Online
TXN391,13009.77,48,Kolkata,ATM
TXN392,9231.43,25,Mumbai,POS
TXN393,2769.43,51,Ahmedabad,ATM
TXN394,3764.23,55,Pune,Online
TXN395,949.73,20,Chennai,ATM
TXN396,14718.31,36,Hyderabad,POS
TXN397,321.22,68,Hyderabad,POS
TXN398,7346.32,36,Delhi,Online
TXN399,13571.61,64,Ahmedabad,Online
TXN400,6129.38,65,Bangalore,Online
TXN401,10806.42,50,Bangalore,Online
TXN402,1393.42,38,Delhi,Online
TXN403,1529.53,36,Kolkata,Online
TXN404,6701.36,39,Ahmedabad,POS
TXN405,1330.99,54,Delhi,ATM
TXN406,12481.73,35,Bangalore,Online
TXN407,10903.05,56,Kolkata,Online
TXN408,10594.62,18,Ahmedabad,Online
TXN409,2651.07,35,Ahmedabad,ATM
TXN410,7502.92,34,Delhi,Online
TXN411,677.79,65,Delhi,POS
TXN412,530.13,30,Hyderabad,POS
TXN413,2969.63,50,Mumbai,Online
TXN414,11231.18,28,Hyderabad,ATM
TXN415,10555.15,20,Hyderabad,ATM
TXN416,12963.41,44,Hyderabad,Online
TXN417,3003.33,59,Ahmedabad,POS
TXN418,14017.24,35,Pune,POS
TXN419,14912.75,41,Mumbai,ATM
TXN420,810.77,23,Bangalore,POS
TXN421,7625.33,29,Chennai,Online
TXN422,221.72,39,Bangalore,Online
TXN423,2764.05,25,Bangalore,POS
TXN424,4279.24,19,Ahmedabad,ATM
TXN425,180.39,21,Delhi,Online
TXN426,1454.86,19,Bangalore,Online
TXN427,6253.7,46,Bangalore,POS
TXN428,11699.48,70,Kolkata,ATM
TXN429,7257.6,32,Pune,POS
TXN430,2701.09,36,Chennai,ATM
TXN431,11219.04,70,Bangalore,POS
TXN432,4700.4,49,Pune,ATM
TXN433,13970.46,23,Chennai,ATM
TXN434,124378.89,36,Mumbai,ATM
TXN435,891.27,70,Pune,ATM
TXN436,316.8,37,Chennai,ATM
TXN437,9333.47,67,Delhi,Online
TXN438,3928.91,21,Pune,Online
TXN439,5611.93,66,Pune,Online
TXN440,3281.74,32,Delhi,Online
TXN441,5056.78,62,Delhi,POS
TXN442,296.39,49,Delhi,ATM
TXN443,4404.87,56,Kolkata,ATM
TXN444,12241.22,64,Bangalore,Online
TXN445,3793.94,57,Hyderabad,Online
TXN446,1677.07,22,Mumbai,POS
TXN447,2113.79,68,Chennai,POS
TXN448,8655.26,55,Bangalore,Online
TXN449,320.32,67,Pune,Online
TXN450,5711.13,23,Hyderabad,Online
TXN451,3495.07,40,Ahmedabad,POS
TXN452,578.9,45,Hyderabad,Online
TXN453,9454.8,58,Kolkata,ATM
TXN454,13079.75,26,Kolkata,POS
TXN455,898.93,22,Pune,Online
TXN456,7458.89,45,Mumbai,ATM
TXN457,2067.79,55,Delhi,ATM
TXN458,828.88,32,Chennai,Online
TXN459,13515.46,29,Mumbai,POS
TXN460,4025.94,52,Chennai,ATM
TXN461,1344.27,45,Chennai,Online
TXN462,14273.74,59,Pune,POS
TXN463,8909.21,40,Bangalore,Online
TXN464,3286.41,25,Hyderabad,ATM
TXN465,2672.26,20,Kolkata,ATM
TXN466,3925.14,25,Hyderabad,ATM
TXN467,8987.43,26,Kolkata,ATM
TXN468,7455.85,70,Kolkata,Online
TXN469,140315.42,58,Chennai,ATM
TXN470,3774.23,44,Delhi,ATM
TXN471,1938.73,37,Chennai,ATM
TXN472,13551.5,55,Chennai,Online
TXN473,996.28,53,Mumbai,ATM
TXN474,14403.84,29,Chennai,POS
TXN475,14829.49,34,Mumbai,Online
TXN476,108347.05,21,Bangalore,ATM
TXN477,8430.78,56,Chennai,Online
TXN478,5935.25,27,Delhi,ATM
TXN479,415.95,64,Mumbai,Online
TXN480,4946.85,46,Ahmedabad,Online
TXN481,4696.84,41,Bangalore,POS
TXN482,11825.87,50,Chennai,POS
TXN483,12370.9,33,Hyderabad,Online
TXN484,3953.9,25,Pune,POS
TXN485,12823.11,67,Mumbai,Online
TXN486,4645.01,31,Ahmedabad,ATM
TXN487,2915.68,57,Mumbai,POS
TXN488,140541.23,38,Delhi,Online
TXN489,3867.71,63,Mumbai,POS
TXN490,145669.49,58,Pune,POS
TXN491,972.79,40,Ahmedabad,ATM
TXN492,1182.79,37,Chennai,POS
TXN493,2892.83,50,Kolkata,ATM
TXN494,11383.25,60,Chennai,POS
TXN495,121752.35,40,Kolkata,Online
TXN496,1265.88,69,Mumbai,ATM
TXN497,7809.08,49,Hyderabad,POS
TXN498,12318.66,57,Delhi,POS
TXN499,2980.22,39,Chennai,POS
TXN500,99999.99,48,Tokyo,Online
TXN501,7372.17,68,Ahmedabad,Online
TXN502,5360.42,57,Mumbai,Online
TXN503,3921.91,30,Bangalore,Online
TXN504,6524.5,65,Pune,POS
TXN505,919.07,34,Mumbai,Online
TXN506,3621.61,61,Mumbai,POS
TXN507,11158.1,68,Bangalore,POS
TXN508,2842.73,23,Ahmedabad,ATM
TXN509,11424.77,41,Ahmedabad,POS
TXN510,10246.73,51,Delhi,POS
TXN511,109170.57,31,Mumbai,POS
TXN512,133917.52,53,Kolkata,Online
TXN513,3919.8,43,Kolkata,POS
TXN514,3974.46,25,Mumbai,Online
TXN515,5829.19,69,Ahmedabad,ATM
TXN516,6078.91,68,Kolkata,POS
TXN517,13624.97,63,Mumbai,POS
TXN518,12693.34,65,Chennai,Online
TXN519,8623.1,62,Bangalore,Online
TXN520,13846.57,29,Chennai,Online
TXN521,12171.44,22,Bangalore,Online
TXN522,574.2,38,Ahmedabad,ATM
TXN523,4502.52,50,Ahmedabad,POS
TXN524,4560.86,20,Hyderabad,ATM
TXN525,8769.95,60,Ahmedabad,POS
TXN526,1355.12,31,Chennai,POS
TXN527,4223.86,24,Ahmedabad,POS
TXN528,3231.32,48,Chennai,Online
TXN529,4798.13,26,Chennai,Online
TXN530,6103.11,21,Mumbai,Online
TXN531,4773.08,57,Ahmedabad,ATM
TXN532,401.88,65,Bangalore,ATM
TXN533,1288.43,48,Chennai,Online
TXN534,2163.25,49,Pune,ATM
TXN535,12168.67,40,Pune,ATM
TXN536,14384.71,37,Kolkata,ATM
TXN537,5722.09,52,Kolkata,POS
TXN538,403.22,21,Delhi,POS
TXN539,2765.76,57,Bangalore,ATM
TXN540,7777.03,19,Bangalore,POS
TXN541,4532.56,54,Pune,ATM
TXN542,6806.99,27,Bangalore,POS
TXN543,109899.73,21,Kolkata,Online
TXN544,10435.93,43,Delhi,Online
TXN545,8458.68,43,Hyderabad,ATM
TXN546,1196.02,33,Bangalore,ATM
TXN547,4205.07,60,Delhi,POS
TXN548,4171.07,19,Ahmedabad,ATM
TXN549,3944.31,31,Mumbai,Online
TXN550,1403.76,35,Pune,ATM
TXN551,6247.24,34,Pune,ATM
TXN552,359.79,44,Hyderabad,ATM
TXN553,4320.73,40,Chennai,ATM
TXN554,126451.58,70,Bangalore,ATM
TXN555,9511.47,34,Kolkata,Online
TXN556,1584.27,38,Mumbai,POS
TXN557,12513.28,30,Bangalore,POS
TXN558,6121.73,65,Chennai,ATM
TXN559,14336.1,57,Delhi,POS
TXN560,1838.99,27,Mumbai,POS
TXN561,500.7,31,Chennai,ATM
TXN562,10533.57,25,Kolkata,ATM
TXN563,214.31,39,Hyderabad,ATM
TXN564,7476.24,37,Pune,ATM
TXN565,149186.62,62,Mumbai,Online
TXN566,9183.53,45,Bangalore,Online
TXN567,12527.11,63,Chennai,POS
TXN568,2242.75,25,Ahmedabad,Online
