transaction_id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount
TXN001,0.12,-0.08,0.45,0.33,-0.22,0.14,-0.11,0.05,-0.09,0.02,0.31,-0.27,0.18,-0.15,0.11,0.09,-0.13,0.07,-0.04,0.06,-0.02,0.03,-0.01,0.02,-0.05,0.04,-0.03,0.01,50000.0
TXN002,-0.21,0.34,-0.18,0.27,0.19,-0.15,0.22,-0.11,0.08,-0.06,0.14,0.09,-0.12,0.17,-0.08,0.05,0.03,-0.02,0.01,-0.04,0.06,-0.07,0.02,-0.03,0.04,-0.01,0.05,-0.02,85.75
TXN003,0.31,-0.25,0.22,-0.14,0.18,0.07,-0.09,0.12,-0.11,0.05,-0.03,0.04,-0.06,0.08,-0.02,0.01,0.07,-0.05,0.06,-0.04,0.03,-0.02,0.01,-0.01,0.02,-0.03,0.04,-0.02,240.1
TXN004,-0.15,0.11,-0.09,0.06,-0.04,0.02,-0.01,0.03,-0.02,0.01,0.05,-0.06,0.07,-0.08,0.09,-0.03,0.02,-0.01,0.04,-0.02,0.01,-0.03,0.02,-0.01,0.03,-0.02,0.01,-0.01,60.0
TXN005,0.36,0.14,0.23,0.39,0.22,-0.22,-0.27,-0.16,0.44,-0.21,0.06,0.3,0.44,0.02,0.16,-0.19,0.07,-0.25,-0.29,-0.29,-0.24,-0.34,0.23,0.17,-0.05,0.22,0.0,0.13,1813.41
TXN006,0.18,-0.12,0.39,0.28,-0.19,0.11,-0.08,0.06,-0.07,0.03,0.29,-0.24,0.16,-0.13,0.1,0.08,-0.11,0.05,-0.03,0.04,-0.01,0.02,-0.02,0.01,-0.04,0.03,-0.02,0.01,1200.5
TXN007,-0.25,0.41,-0.22,0.31,0.23,-0.18,0.26,-0.14,0.09,-0.07,0.16,0.11,-0.15,0.19,-0.1,0.06,0.04,-0.03,0.02,-0.05,0.07,-0.08,0.03,-0.02,0.05,-0.02,0.06,-0.03,75.2
TXN008,0.29,-0.21,0.2,-0.12,0.15,0.06,-0.07,0.1,-0.09,0.04,-0.02,0.03,-0.05,0.07,-0.01,0.02,0.06,-0.04,0.05,-0.03,0.02,-0.01,0.02,-0.02,0.01,-0.02,0.03,-0.01,310.0
TXN009,-0.11,0.09,-0.07,0.05,-0.03,0.01,-0.02,0.02,-0.01,0.02,0.04,-0.05,0.06,-0.07,0.08,-0.02,0.01,-0.01,0.03,-0.02,0.02,-0.02,0.01,-0.01,0.02,-0.01,0.01,-0.01,45.0
TXN010,0.41,0.25,-0.43,0.12,0.35,0.12,0.09,-0.02,-0.22,-0.0,-0.27,0.19,0.12,0.33,-0.18,-0.44,-0.02,-0.33,-0.0,0.14,0.23,0.36,0.34,-0.34,0.37,-0.39,-0.04,0.45,849.04
TXN011,0.14,-0.1,0.36,0.25,-0.17,0.09,-0.06,0.04,-0.05,0.02,0.26,-0.21,0.14,-0.11,0.08,0.07,-0.09,0.04,-0.02,0.03,-0.01,0.01,-0.01,0.01,-0.03,0.02,-0.02,0.01,980.75
TXN012,-0.19,0.3,-0.16,0.24,0.17,-0.13,0.2,-0.1,0.07,-0.05,0.12,0.08,-0.11,0.15,-0.07,0.04,0.03,-0.02,0.01,-0.03,0.05,-0.06,0.02,-0.02,0.03,-0.01,0.04,-0.02,150.0
TXN013,0.26,-0.19,0.17,-0.1,0.13,0.05,-0.06,0.08,-0.07,0.03,-0.01,0.02,-0.04,0.06,-0.01,0.01,0.05,-0.03,0.04,-0.02,0.02,-0.01,0.01,-0.01,0.01,-0.02,0.02,-0.01,275.4
TXN014,-0.09,0.07,-0.06,0.04,-0.02,0.01,-0.01,0.02,-0.01,0.01,0.03,-0.04,0.05,-0.06,0.07,-0.01,0.01,-0.01,0.02,-0.01,0.01,-0.01,0.01,-0.01,0.01,-0.01,0.01,-0.01,35.0
TXN015,0.2,-0.8,0.6,-0.3,0.9,-0.5,0.1,-0.7,0.3,-0.6,0.0,-0.2,0.9,-0.8,0.4,-0.1,0.7,-0.5,0.2,-0.9,0.1,-0.4,0.68,-0.73,0.8,-0.06,0.95,-0.02,850000.0
TXN016,0.13,-0.09,0.41,0.3,-0.2,0.12,-0.1,0.04,-0.08,0.03,0.28,-0.25,0.15,-0.12,0.09,0.07,-0.1,0.05,-0.03,0.04,-0.01,0.02,-0.02,0.01,-0.04,0.03,-0.02,0.01,1100.0
TXN017,-0.22,0.36,-0.2,0.28,0.21,-0.16,0.24,-0.12,0.09,-0.07,0.15,0.1,-0.13,0.18,-0.09,0.06,0.04,-0.03,0.02,-0.04,0.06,-0.07,0.02,-0.03,0.05,-0.02,0.06,-0.03,95.0
TXN018,0.28,-0.22,0.19,-0.11,0.14,0.06,-0.07,0.09,-0.08,0.04,-0.02,0.03,-0.04,0.06,-0.01,0.01,0.05,-0.03,0.04,-0.02,0.02,-0.01,0.01,-0.01,0.01,-0.02,0.02,-0.01,300.0
TXN019,-0.1,0.08,-0.06,0.04,-0.02,0.01,-0.01,0.02,-0.01,0.01,0.03,-0.04,0.05,-0.06,0.07,-0.01,0.01,-0.01,0.02,-0.01,0.01,-0.01,0.01,-0.01,0.01,-0.01,0.01,-0.01,40.0
TXN020,0.5,-0.0,0.7,-0.2,0.8,-0.4,0.2,-0.8,0.4,-0.5,0.1,-0.3,0.0,-0.9,5.5,-0.2,0.8,-0.6,0.3,-0.0,0.2,-0.5,0.9,-0.4,0.1,-0.7,0.6,-6.3,820000.0
TXN021,0.16,-0.11,0.37,0.26,-0.18,0.1,-0.07,0.05,-0.06,0.03,0.27,-0.22,0.14,-0.11,0.09,0.08,-0.09,0.04,-0.02,0.03,-0.01,0.01,-0.01,0.01,-0.03,0.02,-0.02,0.01,900.0
TXN022,-0.2,0.32,-0.17,0.25,0.18,-0.14,0.21,-0.1,0.07,-0.05,0.13,0.09,-0.11,0.16,-0.08,0.05,0.03,-0.02,0.01,-0.03,0.05,-0.06,0.02,-0.02,0.03,-0.01,0.04,-0.02,130.0
